,2 streams,,,,,,4 streamas,,,,
,4,8,16,32,64,,4,8,16,32,64
as-735.bin,0.024739,0.029514,0.059507,0.097469,0.162618,,0.023038,0.031384,0.046849,0.092905,0.181177
com-dblp.ungraph.bin,0.029029,0.04388,0.062465,0.12876,0.224718,,0.03226,0.042084,0.05466,0.097458,0.239946
soc-LiveJournal1.bin,0.717898,0.646529,0.603992,0.634955,0.68527,,0.906548,0.722459,0.644527,0.61097,0.631221
soc-pokec-relationships.bin,0.335908,0.334865,0.318306,0.351489,0.441254,,0.442772,0.330146,0.305806,0.319404,0.346448
soc-sign-epinions.bin,0.038145,0.052161,0.079062,0.123073,0.220023,,0.03193,0.044362,0.069979,0.113123,0.197702
com-orkut.ungraph.bin,1.92665,1.82165,1.82554,1.88674,1.91067,,1.90677,1.80829,1.85194,1.8209,1.78574
roadNet-TX.bin,0.049946,0.059366,0.081305,0.118842,0.203723,,0.049622,0.059495,0.08945,0.12191,0.215828
cit-HepTh.bin,0.019526,0.030316,0.049957,0.089954,0.191545,,0.01877,0.035035,0.062127,0.086379,0.158794
p2p-Gnutella31.bin,0.021315,0.033596,0.055187,0.115846,0.223025,,0.019085,0.029369,0.048446,0.09972,0.201885
cit-Patents.bin,0.307941,0.310192,0.311861,0.325341,0.394592,,0.443006,0.307936,0.309326,0.310131,0.340594
soc-sign-Slashdot081106.bin,0.022928,0.034181,0.055239,0.100682,0.201793,,0.020544,0.037404,0.054502,0.095481,0.19694
p2p-Gnutella30.bin,0.018777,0.041851,0.048789,0.112818,0.236376,,0.018477,0.034577,0.048942,0.093366,0.20129
p2p-Gnutella06.bin,0.017815,0.027166,0.053818,0.110818,0.149883,,0.017361,0.026536,0.047002,0.083602,0.156358
ca-GrQc.bin,0.017495,0.030065,0.056372,0.095396,0.160973,,0.017317,0.028375,0.056153,0.113064,0.12938
p2p-Gnutella08.bin,0.017079,0.036161,0.042448,0.09127,0.143968,,0.01698,0.026049,0.05369,0.07793,0.205839
p2p-Gnutella24.bin,0.019895,0.027825,0.053549,0.112278,0.181563,,0.01949,0.027629,0.046798,0.114916,0.190189
as-caida.bin,0.022079,0.033817,0.059306,0.099923,0.175723,,0.019261,0.031399,0.050603,0.095695,0.210347
soc-Slashdot0902.bin,0.025562,0.035185,0.05954,0.109671,0.19371,,0.022077,0.033152,0.068881,0.105595,0.191474
ca-CondMat.bin,0.02173,0.028935,0.050413,0.112491,0.206967,,0.018232,0.027535,0.051196,0.083783,0.176873
web-NotreDame.bin,0.045711,0.074081,0.091053,0.146282,0.24607,,0.036519,0.052756,0.074156,0.117489,0.212084
soc-sign-Slashdot090221.bin,0.022259,0.033441,0.055571,0.105385,0.196631,,0.020489,0.030332,0.051062,0.101553,0.218092
p2p-Gnutella09.bin,0.018083,0.034286,0.04704,0.11384,0.231784,,0.017496,0.027389,0.060246,0.112678,0.197117
soc-Epinions1.bin,0.024025,0.034268,0.053302,0.092436,0.198564,,0.020899,0.031953,0.053627,0.102917,0.178071
ca-HepPh.bin,0.019228,0.03266,0.062855,0.1153,0.233821,,0.017831,0.02885,0.060722,0.089022,0.208407
roadNet-CA.bin,0.066791,0.073808,0.087989,0.144618,0.232664,,0.062599,0.068288,0.092422,0.12261,0.219374
wiki-Vote.bin,0.023031,0.036596,0.05807,0.080927,0.130647,,0.020668,0.030398,0.048045,0.086687,0.130627
amazon0601.bin,0.034066,0.046867,0.070417,0.128465,0.224172,,0.03602,0.041823,0.057547,0.095938,0.177086
web-BerkStan.bin,0.044439,0.052696,0.073343,0.160155,0.255681,,0.044036,0.048129,0.072336,0.141412,0.201549
p2p-Gnutella05.bin,0.017584,0.028519,0.053029,0.110654,0.152331,,0.019115,0.026866,0.044776,0.074766,0.139656
soc-Slashdot0811.bin,0.024514,0.033071,0.057641,0.101226,0.266973,,0.022255,0.03154,0.062424,0.091022,0.21532
ca-HepTh.bin,0.01736,0.028588,0.063252,0.104569,0.168724,,0.018458,0.027082,0.044718,0.099951,0.177156
