==29648== NVPROF is profiling process 29648, command: ./cuda-pr /home/esaule1/Graphs/SNAP/com-amazon/com-amazon.ungraph.bin
==29648== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
9.33824e-09
1.29021e-08
5.9847e-09
5.15593e-09
3.48223e-09
2.76032e-09
2.14595e-09
1.77602e-09
1.54682e-09
1.41881e-09
1.2933e-09
==29648== Profiling application: ./cuda-pr /home/esaule1/Graphs/SNAP/com-amazon/com-amazon.ungraph.bin
==29648== Profiling result:
"Device","Context","Stream","Kernel","L1 Global Hit Rate","L1 Local Hit Rate","Multiprocessor Activity","Executed IPC","Achieved Occupancy","Requested Global Load Throughput","Requested Global Store Throughput","Multiprocessor Activity","Executed IPC","Instruction Replay Overhead","Shared Memory Replay Overhead","Global Memory Replay Overhead","Global Memory Cache Replay Overhead","Texture Cache Hit Rate","Texture Cache Throughput","Device Memory Read Throughput","Device Memory Write Throughput","Global Store Throughput","Global Load Throughput","Local Memory Cache Replay Overhead","Shared Memory Efficiency","Global Memory Load Efficiency","Global Memory Store Efficiency","L2 Hit Rate (L1 Reads)","L2 Hit Rate (Texture Reads)","L2 Throughput (L1 Reads)","L2 Throughput (Texture Reads)","Local Memory Overhead","Warp Execution Efficiency","Requested Non-Coherent Global Load Throughput","Issued IPC","Instructions per warp","Issue Slot Utilization","Local Memory Load Transactions Per Request","Local Memory Store Transactions Per Request","Shared Memory Load Transactions Per Request","Shared Memory Store Transactions Per Request","Global Load Transactions Per Request","Global Store Transactions Per Request","Local Load Transactions","Local Store Transactions","Shared Load Transactions","Shared Store Transactions","Global Load Transactions","Global Store Transactions","System Memory Read Transactions","System Memory Write Transactions","Texture Cache Transactions","Device Memory Read Transactions","Device Memory Write Transactions","L2 Read Transactions","L2 Write Transactions","Local Memory Load Throughput","Local Memory Store Throughput","Shared Memory Load Throughput","Shared Memory Store Throughput","L2 Throughput (Reads)","L2 Throughput (Writes)","System Memory Read Throughput","System Memory Write Throughput","Warp Non-Predicated Execution Efficiency","Issued Control-Flow Instructions","Executed Control-Flow Instructions","Issued Load/Store Instructions","Executed Load/Store Instructions","Floating Point Operations(Single Precision)","Floating Point Operations(Single Precision Add)","Floating Point Operation(Single Precision Mul)","Floating Point Operations(Single Precision FMA)","Floating Point Operations(Double Precision)","Floating Point Operations(Double Precision Add)","Floating Point Operations(Double Precision Mul)","Floating Point Operations(Double Precison FMA)","Floating Point Operations(Single Precision Special)","Issue Stall Reasons (Instructions Fetch)","Issue Stall Reasons (Execution Dependency)","Issue Stall Reasons (Data Request)","Issue Stall Reasons (Texture)","Issue Stall Reasons (Synchronization)","Issue Stall Reasons (Other)","L1/Shared Memory Utilization","L2 Cache Utilization","Texture Cache Utilization","Device Memory Utilization","System Memory Utilization","Load/Store Function Unit Utilization","Arithmetic Function Unit Utilization","Control-Flow Function Unit Utilization","Texture Function Unit Utilization","Instructions Executed","Instructions Issued","Issue Slots","L2 Throughput (Non-Coherent Reads)","L2 Non-Coherent Read Transactions","Non-Coherent Global Hit Rate","Non-Coherent Global Memory Load Throughput","Non-Coherent Global Load Efficiency","L2 Throughput (Atomic requests)","FP Instructions(Single)","FP Instructions(Double)","Integer Instructions","Bit-Convert Instructions","Control-Flow Instructions","Load/Store Instructions","Misc Instructions","Inter-Thread Instructions","Atomic Replay Overhead","Atomic Transactions","Atomic Transactions Per Request","L2 Read Transactions (L1 read requests)","L2 Write Transactions (L1 write requests)","L2 Transactions (Texture Reads)","L2 Throughput (L1 Writes)","L2 Transactions (Atomic requests)","ECC Transactions","ECC Throughput","Issue Stall Reasons (Pipe Busy)","Issue Stall Reasons (Immediate constant)","FLOP Efficiency(Peak Single)","FLOP Efficiency(Peak Double)","Issue Stall Reasons (Memory Throttle)","Issue Stall Reasons (Not Selected)","Eligible Warps Per Active Cycle","Atomic Throughput"
,,,,%,%,%,,,GB/s,GB/s,%,,,,,,%,GB/s,GB/s,GB/s,GB/s,GB/s,,%,%,%,%,%,GB/s,GB/s,%,%,B/s,,,%,,,,,,,,,,,,,,,,,,,,B/s,B/s,GB/s,GB/s,GB/s,GB/s,B/s,MB/s,%,,,,,,,,,,,,,,%,%,%,%,%,%,,,,,,,,,,,,,B/s,,%,B/s,%,B/s,,,,,,,,,,,,,,,GB/s,,,GB/s,%,%,%,%,%,%,,B/s
"Tesla K40c (0)","1","7","void csrMv_kernel<float, int=128, int=1, int=2>(cusparseCsrMvParams<float>)",0.000000,0.000000,98.288067,1.326883,0.766982,42.644080,3.033069,98.288067,1.326883,0.190416,0.000000,0.044737,0.000000,37.255699,49.253795,111.837832,3.893265,3.033079,92.206442,0.000000,28.124916,46.248482,99.999701,56.834408,58.613943,92.206442,65.187276,0.000000,59.508927,0.000000,1.578826,154.874104,33.482627,0.000000,0.000000,1.000000,1.000000,1.609436,1.000000,0,0,251148,83716,765934,41858,0,5,679727,1543418,53729,2172729,41944,0.000000,0.000000,145.587769,48.529256,157.438426,3.039310,0.000000,0.362305,52.514093,907927,846175,1709325,1132437,8234136,2344041,2186607,1851744,0,0,0,0,0,4.731034,25.059020,58.642396,0.392852,0.000000,5.194653,"Low (2)","Low (3)","Low (1)","Mid (5)","Low (1)","Low (3)","Low (3)","Low (1)","Low (1)",6483030,7717503,6546696,0.000000,0,0.000000,0.000000,0.000000,0.000000,7721844,0,50970449,883144,3708361,16444962,25197018,0,0.000000,0,0.000000,1272495,41858,899617,3.033079,0,633523,45.905801,1.066310,0.100668,0.431166,0.000000,2.831536,1.981532,2.270875,0.000000
"Tesla K40c (0)","1","7","void axpy_kernel_val<float, int=0>(cublasAxpyParamsVal<float>)",0.000000,0.000000,82.283333,1.366300,0.805070,100.033757,50.016878,82.283333,1.366300,0.168785,0.000000,0.000000,0.000000,0.000000,0.000000,115.697087,59.318297,50.017028,100.034055,0.000000,0.000000,99.999701,99.999701,0.000000,0.000000,100.034055,0.000000,0.000000,99.997877,0.000000,1.596911,35.989973,31.749896,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0,0,0,0,20930,10465,0,4,0,96824,49642,83849,41926,0.000000,0.000000,0.000000,0.000000,100.192980,50.098282,0.000000,4.779686,83.330564,99678,83755,47415,31395,669726,0,0,334863,0,0,0,0,0,4.055128,23.695821,63.380576,0.000000,0.000000,1.521439,"Low (1)","Low (3)","Idle (0)","High (7)","Low (1)","Low (2)","Low (3)","Low (1)","Idle (0)",376887,440500,350322,0.000000,0,0.000000,0.000000,0.000000,0.000000,669967,0,4354906,0,669967,1004589,3350558,0,0.000000,0,0.000000,83716,41858,0,50.017028,0,20765,24.812547,1.711461,2.398516,0.520251,0.000000,0.013042,3.224018,2.770164,0.000000
"Tesla K40c (0)","1","7","void asum_kernel<float, float, int=0>(cublasAsumParams<float, float>)",0.000000,0.000000,70.354591,1.357400,0.906192,83.778584,0.030023,70.354591,1.357400,0.158576,0.000000,0.000000,0.000000,0.000000,0.000000,98.908181,0.182137,0.240180,83.778834,0.000000,7.944652,99.999701,12.500000,0.000000,0.000000,83.778834,0.000000,0.000000,99.996774,0.000000,1.551821,201.835417,27.044262,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0,0,15480,8640,10465,120,0,6,0,49417,91,41963,127,0.000000,0.000000,247.865899,138.343758,83.988992,0.254191,0.000000,12.009006,76.396946,34030,32546,34705,34705,365463,365463,0,0,0,0,0,0,0,5.493212,22.758944,51.728803,0.000000,8.163465,0.930943,"Low (2)","Low (2)","Idle (0)","Mid (4)","Low (1)","Low (3)","Mid (5)","Low (1)","Idle (0)",193762,224488,156490,0.000000,0,0.000000,0.000000,0.000000,0.000000,365463,0,2383932,334863,611223,457623,553080,0,0.000000,0,0.000000,41858,120,0,0.240180,0,7574,15.159370,4.802273,3.501268,0.462864,0.000000,0.000000,2.621093,2.525062,0.000000
"Tesla K40c (0)","1","7","void asum_kernel<float, float, int=0>(cublasAsumParams<float, float>)",0.000000,0.000000,2.511805,0.414861,0.123383,0.080740,6.728340e-04,2.511805,0.414861,0.123667,0.000000,0.000000,0.000000,0.000000,0.000000,0.043061,0.010765,5.382674e-03,0.080740,0.000000,7.944652,100.000000,12.500000,100.000000,0.000000,0.080740,0.000000,0.000000,99.600213,0.000000,0.458660,117.250000,8.833768,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0,0,129,72,4,1,0,6,0,8,2,42,3,0.000000,0.000000,5.554920,3.100421,0.226072,0.016148,0.000000,32.296047,59.881397,196,184,206,206,375,375,0,0,0,0,0,0,0,7.029940,49.425150,3.760479,0.000000,15.293413,0.610778,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)",938,1054,812,0.000000,0,0.000000,0.000000,0.000000,0.000000,375,0,9184,120,2559,1143,4337,0,0.000000,0,0.000000,15,1,0,5.382674e-03,0,0,0.000000,0.550898,22.766467,0.001067,0.000000,0.000000,0.562874,0.394256,0.000000
"Tesla K40c (0)","1","7","void csrMv_kernel<float, int=128, int=1, int=2>(cusparseCsrMvParams<float>)",0.000000,0.000000,98.299426,1.323326,0.767085,42.627670,3.031902,98.299426,1.323326,0.190312,0.000000,0.044737,0.000000,37.292738,49.230206,111.885483,3.887131,3.031911,92.170961,0.000000,28.124916,46.248482,99.999701,56.838259,58.566718,92.170961,65.173057,0.000000,59.508923,0.000000,1.573539,154.874104,33.372720,0.000000,0.000000,1.000000,1.000000,1.609436,1.000000,0,0,251148,83716,765934,41858,0,0,679663,1544670,53665,2172342,41929,0.000000,0.000000,145.531746,48.510582,157.349812,3.037054,0.000000,0.000000,52.514092,907859,846175,1710242,1132437,8234136,2344041,2186607,1851744,0,0,0,0,0,4.741866,25.126190,58.595515,0.392037,0.000000,5.214703,"Low (2)","Low (3)","Low (1)","Mid (5)","Idle (0)","Low (3)","Low (3)","Low (1)","Low (1)",6483030,7716829,6546557,0.000000,0,0.000000,0.000000,0.000000,0.000000,7721844,0,50970449,883144,3708361,16444962,25197018,0,0.000000,0,0.000000,1272495,41858,899767,3.031911,0,635071,46.000263,1.068483,0.102924,0.429810,0.000000,2.770357,1.987924,2.263960,0.000000
"Tesla K40c (0)","1","7","void axpy_kernel_val<float, int=0>(cublasAxpyParamsVal<float>)",0.000000,0.000000,81.490936,1.436187,0.802302,99.914367,49.957183,81.490936,1.436187,0.166596,0.000000,0.000000,0.000000,0.000000,0.000000,115.975533,59.211696,49.957333,99.914665,0.000000,0.000000,99.999701,99.999701,0.000000,0.000000,99.914665,0.000000,0.000000,99.997894,0.000000,1.675450,35.989973,33.308183,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0,0,0,0,20930,10465,0,9,0,97173,49612,83862,41918,0.000000,0.000000,0.000000,0.000000,100.088915,50.028942,0.000000,10.741459,83.330564,99669,83755,47195,31395,669726,0,0,334863,0,0,0,0,0,3.927196,23.477063,64.097866,0.000000,0.000000,1.489315,"Low (1)","Low (3)","Idle (0)","High (7)","Low (1)","Low (2)","Low (3)","Low (1)","Idle (0)",376887,439675,349632,0.000000,0,0.000000,0.000000,0.000000,0.000000,669967,0,4354906,0,669967,1004589,3350558,0,0.000000,0,0.000000,83716,41858,0,49.957333,0,21051,25.124273,1.724069,2.410354,0.541595,0.000000,0.039902,2.834235,2.732225,0.000000
"Tesla K40c (0)","1","7","void asum_kernel<float, float, int=0>(cublasAsumParams<float, float>)",0.000000,0.000000,70.058483,1.322544,0.909844,83.720983,0.030002,70.058483,1.322544,0.158659,0.000000,0.000000,0.000000,0.000000,0.000000,98.572161,0.166010,0.240015,83.721233,0.000000,7.944652,99.999701,12.500000,0.000000,0.000000,83.721233,0.000000,0.000000,99.996774,0.000000,1.532377,201.835417,26.704867,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0,0,15480,8640,10465,120,0,2,0,49283,83,42001,127,0.000000,0.000000,247.695481,138.248641,84.007250,0.254016,0.000000,4.000250,76.396946,34031,32546,34705,34705,365463,365463,0,0,0,0,0,0,0,5.387051,22.601575,52.370929,0.000000,7.865945,0.956698,"Low (2)","Low (2)","Idle (0)","Mid (4)","Low (1)","Low (3)","Mid (5)","Low (1)","Idle (0)",193762,224504,156498,0.000000,0,0.000000,0.000000,0.000000,0.000000,365463,0,2383932,334863,611223,457623,553080,0,0.000000,0,0.000000,41858,120,0,0.240015,0,7425,14.850928,4.702272,3.459472,0.455108,0.000000,0.000000,2.656059,2.522705,0.000000
"Tesla K40c (0)","1","7","void asum_kernel<float, float, int=0>(cublasAsumParams<float, float>)",0.000000,0.000000,2.492870,0.414311,0.123395,0.080591,6.715910e-04,2.492870,0.414311,0.125800,0.000000,0.000000,0.000000,0.000000,0.000000,0.042982,0.021491,5.372733e-03,0.080591,0.000000,7.944652,100.000000,12.500000,100.000000,0.000000,0.080591,0.000000,0.000000,99.600213,0.000000,0.466431,117.250000,8.977473,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0,0,129,72,4,1,0,8,0,8,4,76,10,0.000000,0.000000,5.544661,3.094694,0.408328,0.053727,0.000000,42.981867,59.881397,196,184,206,206,375,375,0,0,0,0,0,0,0,21.231665,43.014668,3.162384,0.000000,11.463643,0.509726,"Low (1)","Low (1)","Idle (0)","Low (1)","Low (1)","Low (1)","Low (1)","Low (1)","Idle (0)",938,1056,813,0.000000,0,0.000000,0.000000,0.000000,0.000000,375,0,9184,120,2559,1143,4337,0,0.000000,0,0.000000,15,1,0,5.372733e-03,0,0,0.000000,0.447311,19.692084,0.001075,0.000000,0.000000,0.478519,0.399735,0.000000
"Tesla K40c (0)","1","7","void csrMv_kernel<float, int=128, int=1, int=2>(cusparseCsrMvParams<float>)",0.000000,0.000000,98.357183,1.322632,0.767140,42.636646,3.032541,98.357183,1.322632,0.190659,0.000000,0.044737,0.000000,37.559875,49.189496,111.936064,3.888022,3.032550,92.190368,0.000000,28.124916,46.248482,99.999701,56.836687,58.567267,92.190368,65.201631,0.000000,59.508926,0.000000,1.576239,154.874104,33.430410,0.000000,0.000000,1.000000,1.000000,1.609436,1.000000,0,0,251148,83716,765934,41858,0,10,678958,1545043,53666,2172915,41925,0.000000,0.000000,145.562388,48.520796,157.424455,3.037404,0.000000,0.724485,52.514087,907801,846175,1709794,1132437,8234136,2344041,2186607,1851744,0,0,0,0,0,4.744765,25.128946,58.598386,0.392078,0.000000,5.208800,"Low (2)","Low (3)","Low (1)","Mid (5)","Low (1)","Low (3)","Low (3)","Low (1)","Low (1)",6483030,7719080,6548552,0.000000,0,0.000000,0.000000,0.000000,0.000000,7721844,0,50970449,883144,3708361,16444962,25197018,0,0.000000,0,0.000000,1272495,41858,899972,3.032550,0,635115,46.013136,1.070749,0.100011,0.430675,0.000000,2.767830,1.988435,2.267669,0.000000
